step 7000: train loss 3.2714, val loss 3.2826
saving checkpoint to out
iter 7000: loss 3.2388, time 22897.91ms, mfu -100.00%
iter 7010: loss 3.2407, time 4169.89ms, mfu 32.29%
iter 7020: loss 3.1705, time 4012.99ms, mfu 32.42%
iter 7030: loss 3.4066, time 4062.00ms, mfu 32.49%
iter 7040: loss 3.2991, time 4076.48ms, mfu 32.55%
iter 7050: loss 3.1206, time 4407.30ms, mfu 32.35%
iter 7060: loss 3.3442, time 3970.05ms, mfu 32.50%
iter 7070: loss 3.2436, time 4188.92ms, mfu 32.47%
iter 7080: loss 3.0548, time 3940.55ms, mfu 32.64%
iter 7090: loss 3.2015, time 3941.84ms, mfu 32.79%
iter 7100: loss 3.3260, time 3942.04ms, mfu 32.93%
iter 7110: loss 2.9343, time 3942.14ms, mfu 33.05%
iter 7120: loss 3.1840, time 4082.99ms, mfu 33.04%
iter 7130: loss 3.3766, time 3939.83ms, mfu 33.16%
iter 7140: loss 3.1298, time 4023.85ms, mfu 33.19%
iter 7150: loss 3.4302, time 4034.26ms, mfu 33.21%
iter 7160: loss 3.1829, time 4237.81ms, mfu 33.06%
iter 7170: loss 3.4598, time 4296.66ms, mfu 32.89%
iter 7180: loss 3.4163, time 4275.77ms, mfu 32.75%
iter 7190: loss 3.3364, time 4270.37ms, mfu 32.63%
iter 7200: loss 3.2704, time 4324.83ms, mfu 32.48%
iter 7210: loss 3.3000, time 4265.41ms, mfu 32.39%
iter 7220: loss 3.3089, time 4248.01ms, mfu 32.32%
iter 7230: loss 3.1595, time 4650.35ms, mfu 31.98%
iter 7240: loss 3.0587, time 4440.25ms, mfu 31.82%
iter 7250: loss 3.2771, time 4344.74ms, mfu 31.74%
iter 7260: loss 3.1874, time 4238.88ms, mfu 31.74%
iter 7270: loss 3.1763, time 4479.11ms, mfu 31.57%
iter 7280: loss 3.2710, time 4479.18ms, mfu 31.42%
iter 7290: loss 3.2716, time 4344.04ms, mfu 31.38%
iter 7300: loss 3.0812, time 4486.49ms, mfu 31.24%
iter 7310: loss 3.2205, time 4343.55ms, mfu 31.22%
iter 7320: loss 3.1074, time 4336.91ms, mfu 31.20%
iter 7330: loss 3.3216, time 4476.99ms, mfu 31.09%
iter 7340: loss 3.3594, time 4503.63ms, mfu 30.97%
iter 7350: loss 3.3050, time 4329.99ms, mfu 30.98%
iter 7360: loss 3.2398, time 4333.71ms, mfu 30.99%
iter 7370: loss 3.2964, time 4328.17ms, mfu 31.00%
iter 7380: loss 3.2527, time 4399.89ms, mfu 30.96%
iter 7390: loss 3.2054, time 4348.65ms, mfu 30.96%
iter 7400: loss 3.2693, time 4281.83ms, mfu 31.01%
iter 7410: loss 3.4395, time 4455.12ms, mfu 30.93%
iter 7420: loss 3.1771, time 4378.33ms, mfu 30.92%
iter 7430: loss 3.1667, time 4686.41ms, mfu 30.70%
iter 7440: loss 2.9609, time 4414.84ms, mfu 30.68%
iter 7450: loss 3.2258, time 4476.12ms, mfu 30.62%
iter 7460: loss 3.2532, time 4276.75ms, mfu 30.71%
iter 7470: loss 3.2233, time 4270.23ms, mfu 30.79%
iter 7480: loss 3.1141, time 4293.26ms, mfu 30.85%
iter 7490: loss 3.1265, time 4306.10ms, mfu 30.89%
step 7500: train loss 3.2500, val loss 3.2745
saving checkpoint to out
iter 7500: loss 3.2735, time 19633.90ms, mfu 28.49%
iter 7510: loss 3.2754, time 4267.15ms, mfu 28.79%
iter 7520: loss 3.2197, time 4276.06ms, mfu 29.06%
iter 7530: loss 3.3015, time 4551.81ms, mfu 29.11%
iter 7540: loss 3.2698, time 4267.70ms, mfu 29.36%
iter 7550: loss 3.1335, time 4270.24ms, mfu 29.58%
iter 7560: loss 3.3250, time 4267.49ms, mfu 29.77%
iter 7570: loss 3.2597, time 4258.82ms, mfu 29.96%
iter 7580: loss 3.1855, time 4271.02ms, mfu 30.12%
iter 7590: loss 3.2142, time 4273.43ms, mfu 30.26%
iter 7600: loss 3.1677, time 4559.21ms, mfu 30.18%
iter 7610: loss 3.1454, time 4277.07ms, mfu 30.31%
iter 7620: loss 3.1386, time 4269.67ms, mfu 30.44%
iter 7630: loss 3.3877, time 4268.03ms, mfu 30.55%
iter 7640: loss 3.2463, time 4338.22ms, mfu 30.60%
iter 7650: loss 3.2032, time 4352.16ms, mfu 30.63%
iter 7660: loss 3.1016, time 4246.10ms, mfu 30.74%
iter 7670: loss 3.4033, time 4430.33ms, mfu 30.70%
iter 7680: loss 3.2388, time 4347.17ms, mfu 30.73%
iter 7690: loss 3.3030, time 4378.09ms, mfu 30.73%
iter 7700: loss 3.4591, time 4246.08ms, mfu 30.83%
iter 7710: loss 3.2541, time 4467.64ms, mfu 30.76%
iter 7720: loss 3.3662, time 4481.07ms, mfu 30.69%
iter 7730: loss 3.2359, time 4371.61ms, mfu 30.70%
iter 7740: loss 3.2810, time 4317.28ms, mfu 30.75%
iter 7750: loss 3.0889, time 4141.24ms, mfu 30.93%
iter 7760: loss 3.2604, time 4345.55ms, mfu 30.93%
iter 7770: loss 3.3212, time 4282.35ms, mfu 30.99%
iter 7780: loss 3.1564, time 4358.63ms, mfu 30.98%
iter 7790: loss 3.3316, time 4175.68ms, mfu 31.10%
iter 7800: loss 3.1917, time 4181.24ms, mfu 31.21%
iter 7810: loss 3.3611, time 4201.09ms, mfu 31.30%
iter 7820: loss 3.0313, time 4140.74ms, mfu 31.42%
iter 7830: loss 3.2572, time 4216.93ms, mfu 31.47%
iter 7840: loss 3.2357, time 4027.48ms, mfu 31.67%
iter 7850: loss 3.0819, time 4126.72ms, mfu 31.76%
iter 7860: loss 3.0253, time 4409.45ms, mfu 31.64%
iter 7870: loss 3.1167, time 3984.24ms, mfu 31.86%
iter 7880: loss 3.3433, time 4193.53ms, mfu 31.88%
iter 7890: loss 3.3775, time 4259.95ms, mfu 31.86%
iter 7900: loss 3.0945, time 3993.72ms, mfu 32.04%
iter 7910: loss 3.2138, time 4220.25ms, mfu 32.03%
iter 7920: loss 3.2482, time 3988.08ms, mfu 32.20%
iter 7930: loss 3.2229, time 4319.95ms, mfu 32.10%
iter 7940: loss 3.2177, time 4315.63ms, mfu 32.01%
iter 7950: loss 3.0380, time 4525.20ms, mfu 31.78%
iter 7960: loss 3.2893, time 4303.79ms, mfu 31.73%
iter 7970: loss 3.2778, time 4235.65ms, mfu 31.74%
iter 7980: loss 3.2532, time 4295.68ms, mfu 31.70%
iter 7990: loss 3.3663, time 4006.73ms, mfu 31.89%
step 8000: train loss 3.2449, val loss 3.2629
saving checkpoint to out
iter 8000: loss 3.2842, time 18833.57ms, mfu 29.42%
iter 8010: loss 3.2671, time 4389.69ms, mfu 29.54%
iter 8020: loss 3.1654, time 4478.06ms, mfu 29.60%
iter 8030: loss 3.3617, time 4099.29ms, mfu 29.92%
iter 8040: loss 3.3092, time 4464.43ms, mfu 29.95%
iter 8050: loss 3.2983, time 4490.82ms, mfu 29.95%
iter 8060: loss 3.5158, time 4316.20ms, mfu 30.07%
iter 8070: loss 3.2199, time 4310.70ms, mfu 30.19%
iter 8080: loss 3.2849, time 4290.67ms, mfu 30.31%
iter 8090: loss 3.2254, time 4144.39ms, mfu 30.53%
iter 8100: loss 3.2025, time 4354.63ms, mfu 30.57%
iter 8110: loss 3.2860, time 4193.25ms, mfu 30.72%
iter 8120: loss 3.3685, time 4425.27ms, mfu 30.69%
iter 8130: loss 3.1885, time 4060.36ms, mfu 30.94%
iter 8140: loss 3.3227, time 4073.40ms, mfu 31.15%
iter 8150: loss 3.2438, time 3939.93ms, mfu 31.45%
iter 8160: loss 3.3672, time 4114.39ms, mfu 31.58%
iter 8170: loss 2.9689, time 4396.78ms, mfu 31.49%
iter 8180: loss 3.3197, time 4183.34ms, mfu 31.56%
iter 8190: loss 3.3110, time 4212.83ms, mfu 31.60%
iter 8200: loss 3.1372, time 4059.59ms, mfu 31.75%
iter 8210: loss 3.3215, time 4071.11ms, mfu 31.89%
iter 8220: loss 3.2173, time 4052.32ms, mfu 32.02%
iter 8230: loss 3.2692, time 4025.30ms, mfu 32.16%
iter 8240: loss 3.3748, time 4074.63ms, mfu 32.25%
iter 8250: loss 3.0763, time 4058.32ms, mfu 32.35%
iter 8260: loss 3.1157, time 4322.61ms, mfu 32.23%
iter 8270: loss 3.2652, time 3970.48ms, mfu 32.40%
iter 8280: loss 3.3514, time 4408.92ms, mfu 32.21%
iter 8290: loss 2.8676, time 4321.49ms, mfu 32.10%
iter 8300: loss 3.1937, time 4372.99ms, mfu 31.97%
iter 8310: loss 3.2627, time 4118.39ms, mfu 32.05%
iter 8320: loss 3.2138, time 4388.21ms, mfu 31.91%
iter 8330: loss 3.1760, time 4436.39ms, mfu 31.75%
iter 8340: loss 3.2989, time 4316.99ms, mfu 31.70%
iter 8350: loss 3.1849, time 4518.48ms, mfu 31.51%
iter 8360: loss 3.2772, time 4383.25ms, mfu 31.43%
iter 8370: loss 3.2262, time 4072.34ms, mfu 31.59%
iter 8380: loss 3.3013, time 4252.11ms, mfu 31.60%
iter 8390: loss 2.8217, time 4449.73ms, mfu 31.47%
iter 8400: loss 3.0937, time 4856.26ms, mfu 31.09%
iter 8410: loss 3.4067, time 4310.52ms, mfu 31.11%
iter 8420: loss 3.3230, time 4406.16ms, mfu 31.05%
iter 8430: loss 3.2171, time 4352.83ms, mfu 31.04%
iter 8440: loss 3.2894, time 4461.52ms, mfu 30.96%
iter 8450: loss 3.2698, time 4481.86ms, mfu 30.86%
iter 8460: loss 3.3759, time 4173.25ms, mfu 31.00%
iter 8470: loss 3.3337, time 4576.44ms, mfu 30.85%
iter 8480: loss 3.3803, time 4398.32ms, mfu 30.82%
iter 8490: loss 3.2410, time 3995.81ms, mfu 31.11%
step 8500: train loss 3.2185, val loss 3.2268
saving checkpoint to out
iter 8500: loss 2.9884, time 19803.59ms, mfu 28.68%
iter 8510: loss 3.2236, time 4344.80ms, mfu 28.91%
iter 8520: loss 3.2992, time 4257.30ms, mfu 29.18%
iter 8530: loss 3.3525, time 4238.54ms, mfu 29.44%
iter 8540: loss 3.4304, time 3939.22ms, mfu 29.92%
iter 8550: loss 3.5198, time 4231.13ms, mfu 30.11%
iter 8560: loss 3.4233, time 4132.87ms, mfu 30.35%
iter 8570: loss 3.0886, time 3942.90ms, mfu 30.73%
iter 8580: loss 3.2351, time 3941.10ms, mfu 31.08%
iter 8590: loss 3.3647, time 3941.61ms, mfu 31.39%
iter 8600: loss 3.4945, time 4283.53ms, mfu 31.39%
iter 8610: loss 3.2155, time 4539.21ms, mfu 31.22%
iter 8620: loss 3.1430, time 4288.52ms, mfu 31.24%
iter 8630: loss 3.3802, time 4310.06ms, mfu 31.24%
iter 8640: loss 2.8334, time 4285.23ms, mfu 31.26%
iter 8650: loss 3.2041, time 4292.64ms, mfu 31.27%
iter 8660: loss 3.1670, time 4306.78ms, mfu 31.27%
iter 8670: loss 3.1804, time 4274.74ms, mfu 31.29%
iter 8680: loss 3.1785, time 4443.76ms, mfu 31.19%
iter 8690: loss 3.4020, time 4278.47ms, mfu 31.22%
iter 8700: loss 3.1074, time 4274.02ms, mfu 31.25%
iter 8710: loss 3.3462, time 3939.90ms, mfu 31.54%
iter 8720: loss 3.3038, time 3940.93ms, mfu 31.80%
iter 8730: loss 3.2827, time 3941.55ms, mfu 32.04%
iter 8740: loss 3.3471, time 3945.66ms, mfu 32.25%
iter 8750: loss 3.1193, time 4179.04ms, mfu 32.25%
iter 8760: loss 3.2999, time 3942.38ms, mfu 32.44%
iter 8770: loss 3.2342, time 4237.94ms, mfu 32.37%
iter 8780: loss 2.9875, time 3939.72ms, mfu 32.55%
iter 8790: loss 3.2160, time 4285.14ms, mfu 32.44%
iter 8800: loss 3.3077, time 3942.39ms, mfu 32.61%
iter 8810: loss 3.2220, time 3947.46ms, mfu 32.76%
iter 8820: loss 3.3470, time 4277.05ms, mfu 32.63%
iter 8830: loss 3.3369, time 4281.64ms, mfu 32.52%
iter 8840: loss 3.2358, time 4317.67ms, mfu 32.38%
iter 8850: loss 3.1314, time 4129.75ms, mfu 32.41%
iter 8860: loss 3.1351, time 4095.81ms, mfu 32.45%
iter 8870: loss 3.2988, time 4244.45ms, mfu 32.38%
iter 8880: loss 3.1066, time 4055.86ms, mfu 32.46%
iter 8890: loss 3.3290, time 4300.93ms, mfu 32.35%
iter 8900: loss 2.9900, time 4451.24ms, mfu 32.14%
iter 8910: loss 3.1457, time 4360.30ms, mfu 32.01%
iter 8920: loss 3.2212, time 4181.95ms, mfu 32.03%
iter 8930: loss 3.2884, time 3936.61ms, mfu 32.25%
iter 8940: loss 3.2402, time 4086.53ms, mfu 32.32%
iter 8950: loss 3.2111, time 4000.54ms, mfu 32.45%
iter 8960: loss 3.0848, time 4156.51ms, mfu 32.45%
iter 8970: loss 3.1969, time 4385.46ms, mfu 32.27%
iter 8980: loss 3.3478, time 3972.56ms, mfu 32.44%
iter 8990: loss 3.2414, time 3997.95ms, mfu 32.56%
step 9000: train loss 3.2095, val loss 3.2230
saving checkpoint to out
iter 9000: loss 3.0238, time 19068.59ms, mfu 30.01%
iter 9010: loss 3.2055, time 4483.62ms, mfu 30.01%
iter 9020: loss 3.1109, time 4061.54ms, mfu 30.33%
iter 9030: loss 3.0436, time 4066.76ms, mfu 30.61%
iter 9040: loss 3.1399, time 4191.77ms, mfu 30.76%
iter 9050: loss 3.2824, time 4977.74ms, mfu 30.39%
iter 9060: loss 3.1580, time 4147.93ms, mfu 30.59%
iter 9070: loss 3.2550, time 4439.92ms, mfu 30.57%
iter 9080: loss 3.3636, time 4185.93ms, mfu 30.73%
iter 9090: loss 3.2133, time 4027.88ms, mfu 31.00%
iter 9100: loss 3.1889, time 4075.21ms, mfu 31.20%
iter 9110: loss 3.2031, time 4183.56ms, mfu 31.30%
iter 9120: loss 3.2067, time 3958.85ms, mfu 31.57%
iter 9130: loss 3.1751, time 3961.88ms, mfu 31.81%
iter 9140: loss 3.2567, time 4078.09ms, mfu 31.93%
iter 9150: loss 2.9509, time 4135.98ms, mfu 32.00%
iter 9160: loss 3.1778, time 4091.57ms, mfu 32.09%
iter 9170: loss 3.0613, time 3944.22ms, mfu 32.29%
iter 9180: loss 3.2852, time 4133.35ms, mfu 32.32%
iter 9190: loss 3.3473, time 4015.89ms, mfu 32.44%
iter 9200: loss 3.2585, time 4048.61ms, mfu 32.53%
iter 9210: loss 3.2572, time 3942.69ms, mfu 32.69%
iter 9220: loss 3.1884, time 4585.97ms, mfu 32.36%
iter 9230: loss 3.3800, time 4651.32ms, mfu 32.02%
iter 9240: loss 3.1679, time 4000.29ms, mfu 32.18%
iter 9250: loss 3.1641, time 3943.47ms, mfu 32.38%
iter 9260: loss 3.0168, time 3973.05ms, mfu 32.53%
iter 9270: loss 3.2988, time 3966.24ms, mfu 32.67%
iter 9280: loss 3.2437, time 3964.66ms, mfu 32.80%
iter 9290: loss 3.1819, time 3964.17ms, mfu 32.92%
iter 9300: loss 3.2119, time 4475.42ms, mfu 32.63%
iter 9310: loss 3.1876, time 4715.17ms, mfu 32.23%
iter 9320: loss 3.2686, time 3936.39ms, mfu 32.42%
iter 9330: loss 3.3029, time 4359.31ms, mfu 32.27%
iter 9340: loss 3.0532, time 4643.69ms, mfu 31.94%
iter 9350: loss 3.2611, time 4414.25ms, mfu 31.80%
iter 9360: loss 3.2691, time 4434.51ms, mfu 31.66%
iter 9370: loss 3.3833, time 3935.48ms, mfu 31.91%
iter 9380: loss 3.1101, time 4635.97ms, mfu 31.63%
iter 9390: loss 3.1137, time 4546.10ms, mfu 31.43%
iter 9400: loss 2.9501, time 4530.44ms, mfu 31.26%
iter 9410: loss 3.1443, time 4565.17ms, mfu 31.08%
iter 9420: loss 3.2086, time 4558.96ms, mfu 30.93%
iter 9430: loss 3.0900, time 4560.73ms, mfu 30.79%
iter 9440: loss 3.2629, time 4193.63ms, mfu 30.92%
iter 9450: loss 3.1851, time 4042.53ms, mfu 31.16%
iter 9460: loss 3.1698, time 4127.23ms, mfu 31.30%
iter 9470: loss 3.1230, time 4155.59ms, mfu 31.41%
iter 9480: loss 3.0001, time 4721.88ms, mfu 31.12%
iter 9490: loss 3.3386, time 4711.25ms, mfu 30.87%
step 9500: train loss 3.2105, val loss 3.2076
saving checkpoint to out
iter 9500: loss 3.0536, time 21431.11ms, mfu 28.41%
iter 9510: loss 3.0718, time 4568.22ms, mfu 28.52%
iter 9520: loss 3.2523, time 4728.72ms, mfu 28.51%
iter 9530: loss 3.3092, time 4540.93ms, mfu 28.63%
iter 9540: loss 3.1048, time 4782.79ms, mfu 28.58%
iter 9550: loss 3.3397, time 4582.72ms, mfu 28.66%
iter 9560: loss 3.1089, time 4764.84ms, mfu 28.62%
iter 9570: loss 3.1831, time 4255.22ms, mfu 28.92%
iter 9580: loss 3.2591, time 4059.40ms, mfu 29.35%
iter 9590: loss 3.1906, time 5284.81ms, mfu 28.96%
iter 9600: loss 3.1830, time 4661.24ms, mfu 28.95%
iter 9610: loss 3.2155, time 4234.13ms, mfu 29.24%
iter 9620: loss 3.3904, time 4031.57ms, mfu 29.66%
iter 9630: loss 3.3669, time 3994.52ms, mfu 30.06%
iter 9640: loss 3.2033, time 3934.94ms, mfu 30.48%
iter 9650: loss 3.1176, time 3972.46ms, mfu 30.82%
iter 9660: loss 3.2987, time 4082.11ms, mfu 31.04%
iter 9670: loss 3.0260, time 4087.25ms, mfu 31.23%
iter 9680: loss 3.1725, time 4566.11ms, mfu 31.05%
iter 9690: loss 3.3422, time 4393.75ms, mfu 31.01%
iter 9700: loss 3.2480, time 4227.71ms, mfu 31.10%
iter 9710: loss 3.1057, time 4266.54ms, mfu 31.14%
iter 9720: loss 3.3105, time 3937.35ms, mfu 31.45%
iter 9730: loss 3.2427, time 4054.54ms, mfu 31.63%
iter 9740: loss 3.0991, time 4560.10ms, mfu 31.42%
iter 9750: loss 3.1444, time 4554.38ms, mfu 31.23%
iter 9760: loss 3.4203, time 6117.19ms, mfu 30.31%
iter 9770: loss 3.0854, time 4321.15ms, mfu 30.39%
iter 9780: loss 3.2403, time 4197.90ms, mfu 30.56%
iter 9790: loss 3.1555, time 4272.39ms, mfu 30.66%
iter 9800: loss 3.0985, time 4182.95ms, mfu 30.81%
iter 9810: loss 3.2120, time 4028.05ms, mfu 31.07%
iter 9820: loss 3.0950, time 3960.31ms, mfu 31.37%
iter 9830: loss 3.2261, time 4245.48ms, mfu 31.40%
iter 9840: loss 3.2171, time 3938.52ms, mfu 31.68%
iter 9850: loss 3.5241, time 4591.98ms, mfu 31.44%
iter 9860: loss 3.3188, time 4548.59ms, mfu 31.26%
iter 9870: loss 3.1850, time 4595.31ms, mfu 31.07%
iter 9880: loss 2.9330, time 4196.24ms, mfu 31.17%
iter 9890: loss 3.5239, time 4101.79ms, mfu 31.33%
iter 9900: loss 3.2303, time 4239.88ms, mfu 31.38%
iter 9910: loss 3.2148, time 4309.99ms, mfu 31.36%
iter 9920: loss 3.0470, time 3936.55ms, mfu 31.65%
iter 9930: loss 3.1680, time 4034.41ms, mfu 31.82%
iter 9940: loss 3.3415, time 4684.35ms, mfu 31.51%
iter 9950: loss 3.0569, time 4446.46ms, mfu 31.39%
iter 9960: loss 3.1372, time 4146.07ms, mfu 31.50%
iter 9970: loss 3.2970, time 4260.70ms, mfu 31.51%
iter 9980: loss 3.1344, time 4103.91ms, mfu 31.64%
iter 9990: loss 3.2602, time 4145.25ms, mfu 31.72%
step 10000: train loss 3.1994, val loss 3.2198
saving checkpoint to out
iter 10000: loss 3.0300, time 18432.88ms, mfu 29.28%
iter 10010: loss 3.0140, time 4547.59ms, mfu 29.32%
iter 10020: loss 3.1499, time 4565.52ms, mfu 29.33%
iter 10030: loss 2.9535, time 4564.28ms, mfu 29.35%
iter 10040: loss 3.2533, time 4538.53ms, mfu 29.38%
iter 10050: loss 3.1498, time 4715.98ms, mfu 29.30%
iter 10060: loss 3.0441, time 4000.33ms, mfu 29.74%
iter 10070: loss 3.3014, time 4189.63ms, mfu 29.98%
iter 10080: loss 3.1985, time 4372.34ms, mfu 30.06%
iter 10090: loss 3.1397, time 4633.74ms, mfu 29.96%
iter 10100: loss 3.1858, time 4831.64ms, mfu 29.75%
iter 10110: loss 3.1414, time 4580.58ms, mfu 29.71%
iter 10120: loss 3.1496, time 4709.38ms, mfu 29.60%
iter 10130: loss 3.1454, time 4818.02ms, mfu 29.44%
iter 10140: loss 3.2861, time 4558.26ms, mfu 29.45%
iter 10150: loss 3.1219, time 4666.50ms, mfu 29.39%
iter 10160: loss 3.0642, time 4578.29ms, mfu 29.39%
iter 10170: loss 3.2302, time 4571.36ms, mfu 29.40%
iter 10180: loss 3.0942, time 5002.33ms, mfu 29.15%
iter 10190: loss 3.2105, time 4657.83ms, mfu 29.13%
iter 10200: loss 3.1083, time 4876.92ms, mfu 28.97%
iter 10210: loss 3.3142, time 4445.69ms, mfu 29.11%
iter 10220: loss 3.2035, time 3959.17ms, mfu 29.60%
iter 10230: loss 3.3114, time 4687.71ms, mfu 29.51%
iter 10240: loss 3.1305, time 4582.17ms, mfu 29.50%
iter 10250: loss 3.1839, time 4028.93ms, mfu 29.89%
iter 10260: loss 3.1159, time 4102.54ms, mfu 30.18%
iter 10270: loss 3.1621, time 4084.94ms, mfu 30.46%
iter 10280: loss 3.1964, time 4466.15ms, mfu 30.43%
iter 10290: loss 3.1032, time 4117.52ms, mfu 30.66%
iter 10300: loss 3.2860, time 4190.14ms, mfu 30.81%
iter 10310: loss 3.0847, time 4114.93ms, mfu 31.00%
iter 10320: loss 3.2212, time 4065.02ms, mfu 31.21%
iter 10330: loss 3.1745, time 4520.77ms, mfu 31.07%
iter 10340: loss 3.1861, time 4036.79ms, mfu 31.30%
iter 10350: loss 3.3553, time 4354.58ms, mfu 31.26%
iter 10360: loss 3.1668, time 4357.81ms, mfu 31.22%
iter 10370: loss 3.1809, time 4140.27ms, mfu 31.35%
iter 10380: loss 3.1354, time 4225.97ms, mfu 31.40%
iter 10390: loss 3.1201, time 4041.95ms, mfu 31.60%
iter 10400: loss 3.1027, time 4387.84ms, mfu 31.51%
iter 10410: loss 3.1037, time 3935.34ms, mfu 31.78%
iter 10420: loss 3.1776, time 3936.43ms, mfu 32.02%
iter 10430: loss 3.3795, time 3936.68ms, mfu 32.24%
iter 10440: loss 3.1535, time 3943.31ms, mfu 32.43%
iter 10450: loss 3.1007, time 3958.30ms, mfu 32.59%
iter 10460: loss 3.2217, time 3936.45ms, mfu 32.75%
iter 10470: loss 3.2836, time 3936.43ms, mfu 32.90%
iter 10480: loss 3.2460, time 4035.80ms, mfu 32.94%
iter 10490: loss 3.3225, time 3936.72ms, mfu 33.07%
step 10500: train loss 3.1970, val loss 3.1942
saving checkpoint to out
iter 10500: loss 3.2041, time 18341.67ms, mfu 30.50%
iter 10510: loss 3.3333, time 3932.23ms, mfu 30.87%
iter 10520: loss 3.1402, time 4046.13ms, mfu 31.11%
iter 10530: loss 3.2083, time 3934.27ms, mfu 31.42%
iter 10540: loss 3.3118, time 3933.07ms, mfu 31.71%
iter 10550: loss 3.3358, time 4182.65ms, mfu 31.75%
iter 10560: loss 3.0992, time 4144.52ms, mfu 31.83%
iter 10570: loss 3.1196, time 4394.95ms, mfu 31.71%
iter 10580: loss 3.0764, time 3976.64ms, mfu 31.92%
iter 10590: loss 3.2200, time 4201.67ms, mfu 31.94%
iter 10600: loss 3.1316, time 4364.72ms, mfu 31.83%
iter 10610: loss 3.4088, time 4056.71ms, mfu 31.96%
iter 10620: loss 3.0447, time 5146.23ms, mfu 31.39%
iter 10630: loss 3.1543, time 4619.80ms, mfu 31.16%
iter 10640: loss 3.0071, time 4370.15ms, mfu 31.13%
iter 10650: loss 2.9092, time 4068.04ms, mfu 31.32%
iter 10660: loss 3.1520, time 4239.67ms, mfu 31.37%
iter 10670: loss 2.9703, time 4633.31ms, mfu 31.14%
iter 10680: loss 3.3883, time 4721.71ms, mfu 30.88%
iter 10690: loss 3.2705, time 4773.96ms, mfu 30.61%
