step 26000: train loss 3.0945, val loss 3.1055
saving checkpoint to out
iter 26000: loss 3.0592, time 33004.11ms, mfu -100.00%
iter 26010: loss 3.0859, time 3943.65ms, mfu 34.15%
iter 26020: loss 2.9994, time 3948.27ms, mfu 34.14%
iter 26030: loss 3.2081, time 3973.50ms, mfu 34.12%
iter 26040: loss 3.1314, time 3967.53ms, mfu 34.10%
iter 26050: loss 2.9696, time 3955.54ms, mfu 34.09%
iter 26060: loss 3.1794, time 3976.72ms, mfu 34.07%
iter 26070: loss 3.0688, time 4372.56ms, mfu 33.74%
iter 26080: loss 2.8561, time 4061.96ms, mfu 33.68%
iter 26090: loss 3.0615, time 4191.97ms, mfu 33.53%
iter 26100: loss 3.1269, time 3938.45ms, mfu 33.59%
iter 26110: loss 2.7583, time 3931.94ms, mfu 33.66%
iter 26120: loss 3.0207, time 3930.15ms, mfu 33.72%
iter 26130: loss 3.1951, time 3938.71ms, mfu 33.77%
iter 26140: loss 2.9564, time 3932.66ms, mfu 33.81%
iter 26150: loss 3.2718, time 3935.56ms, mfu 33.85%
iter 26160: loss 3.0141, time 3937.37ms, mfu 33.89%
iter 26170: loss 3.2871, time 3942.77ms, mfu 33.92%
iter 26180: loss 3.2545, time 3934.04ms, mfu 33.95%
iter 26190: loss 3.1863, time 3940.79ms, mfu 33.97%
iter 26200: loss 3.0509, time 3934.00ms, mfu 34.00%
iter 26210: loss 3.1158, time 4243.81ms, mfu 33.77%
iter 26220: loss 3.1460, time 4042.88ms, mfu 33.72%
iter 26230: loss 2.9770, time 3933.33ms, mfu 33.77%
iter 26240: loss 2.9054, time 4003.84ms, mfu 33.76%
iter 26250: loss 3.0980, time 4210.36ms, mfu 33.58%
iter 26260: loss 3.0048, time 4208.78ms, mfu 33.42%
iter 26270: loss 3.0147, time 4196.70ms, mfu 33.29%
iter 26280: loss 3.1003, time 4257.15ms, mfu 33.12%
iter 26290: loss 3.0959, time 4068.21ms, mfu 33.12%
iter 26300: loss 2.8973, time 4252.28ms, mfu 32.98%
iter 26310: loss 3.0428, time 4065.12ms, mfu 32.99%
iter 26320: loss 2.9272, time 4072.23ms, mfu 33.00%
iter 26330: loss 3.1628, time 4044.23ms, mfu 33.03%
iter 26340: loss 3.1617, time 4061.97ms, mfu 33.04%
iter 26350: loss 3.1495, time 4060.50ms, mfu 33.05%
iter 26360: loss 3.0689, time 4124.32ms, mfu 33.01%
iter 26370: loss 3.1243, time 4054.62ms, mfu 33.03%
iter 26380: loss 3.0985, time 4207.79ms, mfu 32.93%
iter 26390: loss 3.0400, time 4133.93ms, mfu 32.89%
iter 26400: loss 3.0874, time 4110.74ms, mfu 32.88%
iter 26410: loss 3.2720, time 4284.90ms, mfu 32.74%
iter 26420: loss 3.0081, time 3954.17ms, mfu 32.87%
iter 26430: loss 2.9875, time 4233.32ms, mfu 32.76%
iter 26440: loss 2.7988, time 4217.39ms, mfu 32.68%
iter 26450: loss 3.0424, time 4079.04ms, mfu 32.71%
iter 26460: loss 3.1118, time 4200.42ms, mfu 32.65%
iter 26470: loss 3.0471, time 4223.02ms, mfu 32.57%
iter 26480: loss 2.9540, time 4160.64ms, mfu 32.55%
iter 26490: loss 2.9575, time 4066.53ms, mfu 32.61%
step 26500: train loss 3.0838, val loss 3.1109
saving checkpoint to out
iter 26500: loss 3.1141, time 18663.04ms, mfu 30.07%
iter 26510: loss 3.1226, time 4301.06ms, mfu 30.19%
iter 26520: loss 3.0678, time 4062.08ms, mfu 30.49%
iter 26530: loss 3.1373, time 4405.89ms, mfu 30.49%
iter 26540: loss 3.0959, time 4082.55ms, mfu 30.74%
iter 26550: loss 2.9695, time 4125.14ms, mfu 30.93%
iter 26560: loss 3.1551, time 4182.58ms, mfu 31.06%
iter 26570: loss 3.1093, time 4086.84ms, mfu 31.25%
iter 26580: loss 3.0106, time 4090.99ms, mfu 31.42%
iter 26590: loss 3.0265, time 4635.90ms, mfu 31.18%
iter 26600: loss 3.0108, time 4316.71ms, mfu 31.18%
iter 26610: loss 2.9898, time 4228.12ms, mfu 31.25%
iter 26620: loss 2.9786, time 5038.74ms, mfu 30.79%
iter 26630: loss 3.2250, time 4140.36ms, mfu 30.97%
iter 26640: loss 3.0778, time 4292.45ms, mfu 31.01%
iter 26650: loss 3.0281, time 4198.67ms, mfu 31.11%
iter 26660: loss 2.9564, time 4264.87ms, mfu 31.16%
iter 26670: loss 3.2407, time 4397.38ms, mfu 31.11%
iter 26680: loss 3.0754, time 4589.00ms, mfu 30.93%
iter 26690: loss 3.1480, time 4070.86ms, mfu 31.15%
iter 26700: loss 3.2961, time 4273.51ms, mfu 31.18%
iter 26710: loss 3.0997, time 4054.28ms, mfu 31.38%
iter 26720: loss 3.2068, time 3996.55ms, mfu 31.62%
iter 26730: loss 3.0782, time 4232.01ms, mfu 31.64%
iter 26740: loss 3.0949, time 3956.12ms, mfu 31.88%
iter 26750: loss 2.9367, time 4054.68ms, mfu 32.01%
iter 26760: loss 3.0943, time 4061.99ms, mfu 32.12%
iter 26770: loss 3.1433, time 3983.99ms, mfu 32.29%
iter 26780: loss 2.9936, time 4082.01ms, mfu 32.36%
iter 26790: loss 3.1748, time 3962.62ms, mfu 32.52%
iter 26800: loss 3.0300, time 4062.95ms, mfu 32.59%
iter 26810: loss 3.1983, time 4049.73ms, mfu 32.65%
iter 26820: loss 2.8778, time 4166.67ms, mfu 32.62%
iter 26830: loss 3.1036, time 4183.13ms, mfu 32.58%
iter 26840: loss 3.0676, time 4058.77ms, mfu 32.64%
iter 26850: loss 2.9083, time 4111.83ms, mfu 32.65%
iter 26860: loss 2.8796, time 4167.21ms, mfu 32.61%
iter 26870: loss 2.9494, time 4062.28ms, mfu 32.67%
iter 26880: loss 3.1905, time 4053.31ms, mfu 32.72%
iter 26890: loss 3.2044, time 4220.80ms, mfu 32.64%
iter 26900: loss 2.9470, time 4050.21ms, mfu 32.70%
iter 26910: loss 3.0552, time 4055.87ms, mfu 32.75%
iter 26920: loss 3.0981, time 4048.05ms, mfu 32.80%
iter 26930: loss 3.0629, time 4054.74ms, mfu 32.84%
iter 26940: loss 3.0601, time 4038.73ms, mfu 32.89%
iter 26950: loss 2.8951, time 4041.00ms, mfu 32.94%
iter 26960: loss 3.1117, time 4172.05ms, mfu 32.87%
