step 37500: train loss 3.0674, val loss 3.0796
saving checkpoint to out
iter 37500: loss 3.0217, time 23485.41ms, mfu -100.00%
iter 37510: loss 3.0123, time 3975.26ms, mfu 33.87%
iter 37520: loss 2.9543, time 3938.04ms, mfu 33.91%
iter 37530: loss 3.1818, time 3963.54ms, mfu 33.91%
iter 37540: loss 3.0894, time 4036.43ms, mfu 33.86%
iter 37550: loss 2.9438, time 3960.88ms, mfu 33.87%
iter 37560: loss 3.1478, time 3978.81ms, mfu 33.87%
iter 37570: loss 3.0390, time 4025.07ms, mfu 33.83%
iter 37580: loss 2.8252, time 3988.58ms, mfu 33.82%
iter 37590: loss 3.0214, time 3970.01ms, mfu 33.83%
iter 37600: loss 3.1002, time 4338.89ms, mfu 33.55%
iter 37610: loss 2.7460, time 3960.98ms, mfu 33.60%
iter 37620: loss 2.9873, time 3983.64ms, mfu 33.62%
iter 37630: loss 3.1673, time 4183.07ms, mfu 33.47%
iter 37640: loss 2.9362, time 3971.17ms, mfu 33.52%
iter 37650: loss 3.2426, time 3965.38ms, mfu 33.56%
iter 37660: loss 2.9821, time 4155.14ms, mfu 33.45%
iter 37670: loss 3.2563, time 3957.30ms, mfu 33.50%
iter 37680: loss 3.2134, time 3971.21ms, mfu 33.54%
iter 37690: loss 3.1578, time 4252.37ms, mfu 33.36%
iter 37700: loss 3.0231, time 3959.40ms, mfu 33.42%
iter 37710: loss 3.0911, time 3949.60ms, mfu 33.49%
iter 37720: loss 3.1209, time 4227.14ms, mfu 33.33%
iter 37730: loss 2.9597, time 4342.47ms, mfu 33.09%
iter 37740: loss 2.8761, time 4064.22ms, mfu 33.10%
iter 37750: loss 3.0824, time 4239.99ms, mfu 32.96%
iter 37760: loss 2.9848, time 4004.21ms, mfu 33.03%
iter 37770: loss 2.9790, time 4045.48ms, mfu 33.06%
iter 37780: loss 3.0634, time 4080.99ms, mfu 33.05%
iter 37790: loss 3.0678, time 3959.01ms, mfu 33.15%
iter 37800: loss 2.8758, time 3989.82ms, mfu 33.21%
iter 37810: loss 3.0205, time 4106.22ms, mfu 33.17%
iter 37820: loss 2.9017, time 3973.60ms, mfu 33.24%
iter 37830: loss 3.1345, time 3979.54ms, mfu 33.30%
iter 37840: loss 3.1360, time 4203.66ms, mfu 33.17%
iter 37850: loss 3.1145, time 3980.89ms, mfu 33.24%
iter 37860: loss 3.0352, time 4339.94ms, mfu 33.02%
iter 37870: loss 3.0976, time 4143.97ms, mfu 32.96%
iter 37880: loss 3.0619, time 3957.87ms, mfu 33.07%
iter 37890: loss 3.0130, time 3982.37ms, mfu 33.14%
iter 37900: loss 3.0604, time 4256.23ms, mfu 32.99%
iter 37910: loss 3.2405, time 3956.59ms, mfu 33.10%
iter 37920: loss 2.9754, time 3936.89ms, mfu 33.21%
iter 37930: loss 2.9666, time 4210.08ms, mfu 33.09%
iter 37940: loss 2.7753, time 3939.27ms, mfu 33.20%
iter 37950: loss 3.0216, time 3939.15ms, mfu 33.29%
iter 37960: loss 3.0711, time 4241.64ms, mfu 33.14%
iter 37970: loss 3.0134, time 3938.32ms, mfu 33.25%
iter 37980: loss 2.9161, time 3937.87ms, mfu 33.34%
iter 37990: loss 2.9292, time 4340.78ms, mfu 33.11%
step 38000: train loss 3.0574, val loss 3.0844
saving checkpoint to out
iter 38000: loss 3.0923, time 18167.90ms, mfu 30.54%
iter 38010: loss 3.0896, time 3936.90ms, mfu 30.91%
iter 38020: loss 3.0436, time 3938.39ms, mfu 31.23%
iter 38030: loss 3.1123, time 3937.94ms, mfu 31.53%
iter 38040: loss 3.0670, time 3938.15ms, mfu 31.80%
iter 38050: loss 2.9414, time 3939.09ms, mfu 32.04%
iter 38060: loss 3.1264, time 4061.09ms, mfu 32.15%
iter 38070: loss 3.0788, time 3938.28ms, mfu 32.35%
iter 38080: loss 2.9863, time 4274.11ms, mfu 32.27%
iter 38090: loss 2.9931, time 3939.14ms, mfu 32.46%
iter 38100: loss 2.9928, time 3938.16ms, mfu 32.63%
iter 38110: loss 2.9689, time 3937.17ms, mfu 32.79%
iter 38120: loss 2.9524, time 3939.02ms, mfu 32.93%
